tconst	parentTconst	seasonNumber	episodeNumber
tt10794346	tt10790842	1	17
tt10794360	tt10790842	1	18
tt10794402	tt10790842	1	20
tt10794420	tt10790842	1	19
tt10794442	tt10790842	1	21
tt10794458	tt10790842	1	22
tt10794514	tt10790842	2	1
tt10794560	tt10790842	2	2
tt10794588	tt10790842	2	3
tt10794608	tt10790842	2	4
tt10794626	tt10790842	2	5
tt10794644	tt10790842	2	6
tt10794660	tt10790842	2	7
tt10794680	tt10790842	2	8
tt10794720	tt10790842	2	0
tt10794746	tt10790842	2	10
tt10794764	tt10790842	2	11
tt10794778	tt10790842	2	12
tt10795682	tt10768188	4	6
tt10796048	tt10790842	2	13
tt10796054	tt10790842	2	14
tt10796070	tt10790842	2	15
tt10796102	tt10790842	2	16
tt10796144	tt10790842	2	17
tt10796160	tt10790842	2	18
tt10796168	tt10790842	2	19
tt10796198	tt10790842	2	20
tt10796208	tt10790842	2	21
tt10796216	tt10790842	2	22
tt10796222	tt10790842	2	23
tt10796230	tt10790842	2	24
tt10796244	tt10790842	2	25
tt10796248	tt10790842	2	26
tt10796270	tt10790842	2	27
tt10796292	tt10790842	2	28
tt10796298	tt10790842	2	29
tt10796302	tt10790842	2	30
tt10796312	tt10790842	2	31
tt10796340	tt10790842	2	32
tt10796358	tt10790842	2	33
tt10796374	tt10790842	2	34
tt10796692	tt10790842	2	35
tt10797238	tt10790842	2	36
tt10797290	tt10790842	2	37
tt10797406	tt10790842	2	39
tt10797530	tt10790842	2	40
tt10797758	tt10790842	3	0
tt10798642	tt10790842	3	1
tt10798658	tt10790842	3	3
tt10798674	tt10790842	3	4
tt10801584	tt10790842	3	5
tt10801598	tt10790842	3	6
tt10801606	tt10790842	3	7
tt10801622	tt10790842	3	8
tt10801644	tt10790842	3	9
tt10804198	tt0407423	50	110
tt10804844	tt0407423	50	111
tt10807130	tt0407423	46	114
tt10807166	tt0407423	46	115
tt10814582	tt9646546	3	7
tt10821500	tt10768188	5	11
tt10824980	tt0407423	47	5
tt10825380	tt10790842	3	10
tt10825394	tt10790842	3	11
tt10825414	tt10790842	3	12
tt10825426	tt10790842	3	13
tt10825486	tt10790842	3	18
tt10825496	tt10790842	3	19
tt10825542	tt10790842	3	20
tt10825562	tt10790842	3	21
tt10825578	tt10790842	3	22
tt10825586	tt10790842	3	23
tt10825604	tt10790842	3	24
tt10825690	tt10790842	3	25
tt10825720	tt10790842	3	26
tt10825742	tt10790842	3	27
tt10825764	tt10790842	3	28
tt10825778	tt10790842	3	29
tt10825792	tt10790842	3	30
tt10825820	tt10790842	3	31
tt10825834	tt10790842	3	32
tt10825840	tt10790842	3	33
tt10825856	tt10790842	3	34
tt10825864	tt10790842	3	35
tt10832634	tt10805352	1	1
tt10837094	tt0407423	51	76
tt1084409	tt0172025	2	6
tt10852868	tt0407423	47	15
tt10855968	tt10805352	1	2
tt10855982	tt10805352	1	3
tt10859148	tt0407423	43	111
tt1086194	tt0101188	2	1
tt10867894	tt10680606	1	30
tt10887274	tt9646546	3	9
tt10889762	tt0407423	45	19
tt10899828	tt0407423	45	15
tt10902966	tt5595268	4	10
tt10911746	tt0407423	44	62
tt10913940	tt5595268	4	13
tt10914776	tt0407423	51	32
tt10914792	tt0407423	51	49
tt10914970	tt0407423	51	56
tt10915376	tt0407423	45	90
tt10921922	tt6116212	3	6
tt10925892	tt9646546	3	10
tt10930720	tt0407423	44	80
tt10930758	tt0407423	44	85
tt10930774	tt0407423	44	104
tt10933658	tt10933178	1	1
tt1093680	tt0805905	1	14
tt10937528	tt0407423	45	5
tt10939888	tt0407423	45	70
tt10940006	tt0407423	51	105
tt10943462	tt4489232	7	16
tt10943772	tt10943608	1	1
tt10951378	tt0407423	45	55
tt10959080	tt5270892	\N	\N
tt10960020	tt0407423	51	75
tt10960038	tt0407423	51	79
tt10960930	tt0407423	60	1
tt10960940	tt0407423	60	2
tt10960972	tt0407423	60	3
tt10961004	tt0407423	60	4
tt10961028	tt0407423	60	5
tt10961068	tt0407423	60	6
tt10961124	tt0407423	60	7
tt10961166	tt0407423	60	8
tt10961220	tt0407423	60	9
tt10961246	tt0407423	60	10
tt10961328	tt0407423	60	11
tt10961340	tt0407423	60	12
tt10961352	tt0407423	60	13
tt10961372	tt0407423	60	14
tt10961384	tt0407423	60	15
tt10961406	tt0407423	60	16
tt10961424	tt0407423	60	17
tt10961460	tt0407423	60	18
tt10961478	tt0407423	60	19
tt10968034	tt9646546	3	11
tt10969336	tt0407423	51	58
tt10980632	tt0407423	51	31
tt1098276	tt0384767	1	26
tt1098285	tt0384767	1	18
tt10984670	tt0407423	51	38
tt10988284	tt0407423	51	52
tt10990166	tt0407423	51	51
tt10991024	tt10933400	2	22
tt10998326	tt0407423	60	21
tt10998348	tt0407423	60	22
tt10998360	tt0407423	60	23
tt10998372	tt0407423	60	24
tt10998384	tt0407423	60	25
tt10998390	tt0407423	60	26
tt10998408	tt0407423	60	27
tt10998438	tt0407423	60	28
tt10998482	tt0407423	60	29
tt10998502	tt0407423	60	30
tt10998522	tt0407423	60	31
tt10998548	tt0407423	60	32
tt10998562	tt0407423	60	33
tt10998582	tt0407423	60	34
tt10999066	tt6987380	5	1
tt10999128	tt6987380	5	2
tt10999156	tt6987380	5	3
tt10999196	tt6987380	5	4
tt10999330	tt6987380	5	5
tt10999332	tt6987380	5	6
tt11005902	tt0407423	51	57
tt11009060	tt0407423	51	62
tt11026944	tt0407423	51	109
tt11027452	tt0407423	51	110
tt11027770	tt0407423	51	111
tt11037560	tt0407423	60	35
tt11037588	tt0407423	60	36
tt11037610	tt0407423	60	37
tt11037658	tt0407423	60	38
tt11037908	tt0407423	60	39
tt11037928	tt0407423	60	40
tt11037938	tt0407423	60	41
tt11037946	tt0407423	60	42
tt11037962	tt0407423	60	43
tt11038048	tt0407423	52	60
tt11038088	tt0407423	60	45
tt11038114	tt0407423	60	46
tt11038228	tt0407423	60	47
tt11038238	tt0407423	60	48
tt11038246	tt0407423	60	49
tt11038258	tt0407423	60	50
tt11038260	tt0407423	60	51
tt11040432	tt0407423	52	66
tt11043746	tt3869500	5	9
tt11043750	tt3869500	5	10
tt11043752	tt3869500	5	11
tt11043754	tt3869500	5	12
tt11043762	tt3869500	5	13
tt11043768	tt3869500	5	14
tt1106675	tt0098868	1	2
tt1106940	tt0147756	2	6
tt1106941	tt0147756	2	11
tt1106942	tt0147756	3	10
tt1106943	tt0147756	1	3
tt1106944	tt0147756	2	2
tt1106945	tt0147756	2	3
tt1106946	tt0147756	2	9
tt1106947	tt0147756	3	9
tt1106948	tt0147756	1	9
tt1106949	tt0147756	2	5
tt1106951	tt0147756	1	2
tt1106952	tt0147756	2	10
tt1106953	tt0147756	2	7
tt1106954	tt0147756	1	4
tt11073156	tt0407423	46	56
tt11073180	tt0407423	46	58
tt11073442	tt0407423	47	43
tt11078518	tt0407423	60	52
tt11078524	tt0407423	60	53
tt11078534	tt0407423	60	54
tt11078554	tt0407423	60	55
tt11078562	tt0407423	60	56
tt11078574	tt0407423	60	57
tt11078590	tt0407423	60	58
tt11078598	tt0407423	60	59
tt11078602	tt0407423	60	60
tt11078612	tt0407423	60	61
tt11078616	tt0407423	60	62
tt11078624	tt0407423	60	63
tt11078634	tt0407423	60	64
tt11078654	tt0407423	60	65
tt11078660	tt0407423	60	66
tt11078662	tt0407423	60	67
tt11078672	tt0407423	60	68
tt11078706	tt0407423	60	69
tt11078714	tt0407423	60	70
tt11078726	tt0407423	60	71
tt11079978	tt9145184	1	2
tt11079990	tt9145184	1	3
tt11079998	tt9145184	1	4
tt11080004	tt9145184	1	5
tt11096584	tt9022950	1	30
tt11097152	tt9145184	1	6
tt11104486	tt0407423	46	95
tt11108432	tt0407423	52	42
tt11108466	tt0407423	46	99
tt1111651	tt0780365	1	3
tt11120244	tt0407423	46	94
tt11120814	tt0407423	46	108
tt11128514	tt0407423	47	53
tt11128554	tt0407423	47	64
tt11128818	tt0407423	47	48
tt11131314	tt0111875	11	24
tt11131802	tt0407423	47	63
tt11148106	tt0407423	44	94
tt11148146	tt0407423	45	14
tt11155882	tt6987380	5	10
tt11155884	tt6987380	5	9
tt11155886	tt6987380	5	8
tt11155888	tt6987380	6	1
tt11155890	tt6987380	5	7
tt1117058	tt0870039	1	15
tt11170784	tt9646546	3	17
tt11181728	tt0407423	46	72
tt11187252	tt0407423	60	72
tt11187264	tt0407423	60	73
tt11187276	tt0407423	60	74
tt11187280	tt0407423	60	75
tt11187292	tt0407423	60	76
tt11187306	tt0407423	60	77
tt11187328	tt0407423	60	78
tt11187506	tt0407423	60	79
tt11187518	tt0407423	60	80
tt11187524	tt0407423	60	81
tt11187528	tt0407423	60	82
tt11187534	tt0407423	60	83
tt11187540	tt0407423	60	84
tt11187544	tt0407423	60	85
tt11187546	tt0407423	60	86
tt1120195	tt0870039	1	1
tt11210466	tt0407423	51	69
tt11211468	tt11207734	3	12
tt11211494	tt11207734	3	11
tt11211514	tt11207734	3	10
tt11211546	tt11207734	3	9
tt11211634	tt11207734	3	4
tt11211650	tt11207734	3	5
tt11212130	tt11207734	2	13
tt11213984	tt0407423	51	70
tt1121528	tt1092502	\N	\N
tt1121529	tt1092502	\N	\N
tt1121536	tt1092502	\N	\N
tt11238788	tt11238614	1	1
tt11242644	tt11238614	1	2
tt11242652	tt11238614	1	3
tt11242660	tt11238614	1	4
tt11242666	tt11238614	1	5
tt11242668	tt11238614	1	6
