tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0055641	tvSeries	Zu viele Köche	Zu viele Köche	0	1961	\N	\N	['\\N']
tt0055661	tvSeries	The Beachcomber	The Beachcomber	0	1962	1962	30	['Adventure']
tt0055666	tvSeries	Combat!	Combat!	0	1962	1967	60	['Action', 'Drama', 'War']
tt0055677	tvMiniSeries	Das Halstuch	Das Halstuch	0	1962	1962	217	['Action', 'Thriller']
tt0055680	tvSeries	It's a Man's World	It's a Man's World	0	1962	1963	60	['Comedy', 'Drama', 'Romance']
tt0055688	tvSeries	The Match Game	The Match Game	0	1962	1969	25	['Game-Show']
tt0055708	tvSeries	The Tonight Show Starring Johnny Carson	The Tonight Show Starring Johnny Carson	0	1962	1992	105	['Comedy', 'Talk-Show']
tt0055950	movie	Electra	Ilektra	0	1962	\N	110	['Drama']
tt0056397	movie	Reach for Glory	Reach for Glory	0	1962	\N	86	['Drama', 'War']
tt0056535	tvMovie	Stück für Stück	Stück für Stück	0	1962	\N	66	['Drama']
tt0056719	movie	The Gypsy Baron	Der Zigeunerbaron	0	1962	\N	103	['Comedy', 'Music', 'Musical']
tt0056757	tvSeries	The Fugitive	The Fugitive	0	1963	1967	51	['Adventure', 'Crime', 'Drama']
tt0056767	tvSeries	The Judy Garland Show	The Judy Garland Show	0	1963	1964	60	['Comedy', 'Music']
tt0056777	tvSeries	The Outer Limits	The Outer Limits	0	1963	1965	51	['Drama', 'Fantasy', 'Horror']
tt0056790	tvSeries	Tim Frazer	Tim Frazer	0	1963	\N	\N	['Action', 'Adventure', 'Crime']
tt0057287	movie	Ein Mann im schönsten Alter	Ein Mann im schönsten Alter	0	1964	\N	109	['Drama']
tt0057476	movie	The Black Abbot	Der schwarze Abt	0	1963	\N	95	['Crime', 'Thriller']
tt0057479	movie	Dr. Mabuse vs. Scotland Yard	Scotland Yard jagt Dr. Mabuse	0	1963	\N	90	['Crime', 'Horror', 'Mystery']
tt0057546	movie	The Sword in the Stone	The Sword in the Stone	0	1963	\N	79	['Adventure', 'Animation', 'Comedy']
tt0057603	movie	Black Sabbath	I tre volti della paura	0	1963	\N	92	['Horror']
tt0057760	tvSeries	Karen	Karen	0	1964	1965	30	['Comedy']
tt0057831	movie	Zorba the Greek	Alexis Zorbas	0	1964	\N	142	['Comedy', 'Drama']
tt0057999	movie	Dear Heart	Dear Heart	0	1964	\N	114	['Comedy', 'Family']
tt0058112	movie	Ein Frauenarzt klagt an	Ein Frauenarzt klagt an	0	1964	\N	96	['Drama']
tt0058228	tvMovie	In der Sache J. Robert Oppenheimer	In der Sache J. Robert Oppenheimer	0	1964	\N	135	['Drama']
tt0058262	movie	The Killers	The Killers	0	1964	\N	93	['Crime', 'Drama', 'Mystery']
tt0058331	movie	Mary Poppins	Mary Poppins	0	1964	\N	139	['Comedy', 'Family', 'Fantasy']
tt0058353	tvMovie	Minna von Barnhelm	Minna von Barnhelm	0	1964	\N	105	['Comedy']
tt0058523	movie	Ride the Wild Surf	Ride the Wild Surf	0	1964	\N	101	['Comedy', 'Drama', 'Sport']
tt0058719	movie	Stop Train 349	Verspätung in Marienborn	0	1963	\N	105	['Drama', 'Thriller']
tt0058805	tvSeries	Get Smart	Get Smart	0	1965	1970	25	['Action', 'Adventure', 'Comedy']
tt0058816	tvSeries	I Spy	I Spy	0	1965	1968	51	['Action', 'Adventure', 'Comedy']
tt0058836	tvSeries	Out of the Unknown	Out of the Unknown	0	1965	1971	60	['Drama', 'Horror', 'Sci-Fi']
tt0058997	movie	Bunny Lake Is Missing	Bunny Lake Is Missing	0	1965	\N	107	['Drama', 'Mystery', 'Thriller']
tt0059134	movie	Duel at Sundown	Duell vor Sonnenuntergang	0	1965	\N	99	['Western']
tt0059685	movie	Die schwedische Jungfrau	Die schwedische Jungfrau	0	1965	\N	90	['Comedy', 'Romance']
tt0059686	movie	The Violin Case Murders	Schüsse aus dem Geigenkasten	0	1965	\N	89	['Crime', 'Thriller']
tt0059930	movie	Young Cassidy	Young Cassidy	0	1965	\N	110	['Biography', 'Drama']
tt0059990	tvSeries	Graf Yoster gibt sich die Ehre	Graf Yoster gibt sich die Ehre	0	1967	1977	25	['Mystery']
tt0060009	tvSeries	Mission: Impossible	Mission: Impossible	0	1966	1973	50	['Action', 'Adventure', 'Crime']
tt0060397	movie	Fantastic Voyage	Fantastic Voyage	0	1966	\N	100	['Adventure', 'Family', 'Sci-Fi']
tt0060531	movie	I Deal in Danger	I Deal in Danger	0	1966	\N	90	['Action', 'Drama', 'War']
tt0060855	tvMovie	Preis der Freiheit	Preis der Freiheit	0	1966	\N	83	['Drama']
tt0061240	tvSeries	The Carol Burnett Show	The Carol Burnett Show	0	1967	1978	60	['Comedy', 'Family']
tt0061265	tvSeries	The Invaders	The Invaders	0	1967	1968	51	['Drama', 'Sci-Fi', 'Thriller']
tt0061277	tvSeries	Mannix	Mannix	0	1967	1975	60	['Action', 'Crime', 'Drama']
tt0061289	tvSeries	Raumpatrouille - Die phantastischen Abenteuer des Raumschiffes Orion	Raumpatrouille - Die phantastischen Abenteuer des Raumschiffes Orion	0	1966	1966	60	['Adventure', 'Sci-Fi']
tt0061423	tvMovie	Bratkartoffeln inbegriffen	Bratkartoffeln inbegriffen	0	1967	\N	105	['Drama']
tt0061811	movie	In the Heat of the Night	In the Heat of the Night	0	1967	\N	110	['Crime', 'Drama', 'Mystery']
tt0061857	tvMovie	Der Kaktusgarten	Der Kaktusgarten	0	1967	\N	90	['\\N']
tt0062078	movie	Operation Kid Brother	OK Connery	0	1967	\N	104	['Action', 'Comedy', 'Thriller']
tt0062091	movie	The Dance of Death	Paarungen	0	1967	\N	83	['Drama']
tt0062397	movie	Your Turn to Die	Troppo per vivere... poco per morire	0	1967	\N	118	['Action', 'Crime', 'Thriller']
tt0062425	movie	Up the Down Staircase	Up the Down Staircase	0	1967	\N	124	['Drama']
tt0062568	tvSeries	Hawaii Five-O	Hawaii Five-O	0	1968	1980	60	['Crime', 'Drama', 'Mystery']
tt0062574	tvSeries	Journey to the Unknown	Journey to the Unknown	0	1968	\N	60	['Horror', 'Mystery', 'Sci-Fi']
tt0062584	tvMiniSeries	Ein Mann namens Harry Brent	Ein Mann namens Harry Brent	0	1968	\N	186	['Action', 'Adventure', 'Crime']
tt0062589	tvSeries	Mod Squad	The Mod Squad	0	1968	1973	60	['Action', 'Crime', 'Drama']
tt0063122	movie	I'm an Elephant, Madame	Ich bin ein Elefant, Madame	0	1969	\N	100	['Comedy', 'Drama']
tt0063385	movie	Oliver!	Oliver!	0	1968	\N	153	['Drama', 'Family', 'Musical']
tt0063621	movie	Sol Madrid	Sol Madrid	0	1968	\N	90	['Action', 'Crime']
tt0063643	movie	Stay Away, Joe	Stay Away, Joe	0	1968	\N	102	['Comedy', 'Musical', 'Romance']
tt0063703	tvMovie	Der Tod des Handlungsreisenden	Der Tod des Handlungsreisenden	0	1968	\N	125	['Drama']
